AID	CLUSTER2	GSWGT1
90579999	1.08	3388.22
90593900	1.86	3633.27
90606125	3.71	369.12
90606629	3.71	4246.14
90606920	3.71	3346.43
90606925	3.71	522.36
90608879	3.6	4595.15
90608976	3.6	3250.46
90614172	3.7	3711.49
90614370	3.7	4317.34
90614371	3.7	3711.49
90614876	3.7	2786
90614978	3.7	3100.27
90619168	3.04	4641.77
90619260	3.04	3936.25
90619265	3.04	6729.64
90619360	3.04	6424.63
90619464	3.04	6211.16
90619861	3.04	4641.77
90619961	3.04	5178.3
90636252	3.72	2434.53
90646128	3.71	419.69
90676028	3.71	628.8
90676053	3.72	2051.73
90676157	3.72	3176.3
90676321	3.71	3346.43
90676422	3.71	4447.73
90676458	3.72	2443.23
90676554	3.72	3968.75
90676627	3.71	2832.61
90676725	3.71	3283.64
90676829	3.71	418.09
90676953	3.72	2434.53
90678178	3.6	4063.41
90678378	3.6	4656.71
90678671	3.6	935.49
90678978	3.6	4364.49
90710051	2.42	5944.53
90710085	2.43	2583.08
90710184	2.43	6298.13
90710194	2.48	4225.37
90710218	2.45	4496.23
90710297	2.48	4126.94
90710316	2.45	6093.35
90710319	2.45	4454.5
90710386	2.43	6298.13
90710483	2.43	3300.9
90710830	2.47	5729.8
90710853	2.42	2520.35
90710874	2.5	6540.62
90710930	2.47	2852.31
90710935	2.47	5729.8
90710974	2.5	5340.14
90710993	2.48	4126.94
90711360	2.34	6517.63
90712046	2.19	8983.08
90712140	2.19	3399.23
90712211	2.15	3394.8
90712216	2.15	5583.85
90712290	2.18	3233.01
90712348	2.19	3399.23
90712914	2.15	3394.8
90712942	2.19	1168.53
90712997	2.18	3233.01
90713030	2.87	815.52
90713391	2.88	3960.87
90713395	2.88	3960.87
90713507	2.86	5723.32
90713702	2.86	2581.36
90713909	2.86	2765.49
90713930	2.87	4236.61
90713998	2.88	3892.53
90714016	2.65	10780.85
90714018	2.65	8738.52
90714022	2.61	4776.18
90714025	2.61	5297.93
90714081	2.63	5877.25
90714098	2.68	2951.13
90714212	2.65	10066.31
90714232	2.67	5100.29
90714233	2.67	3150.99
90714236	2.67	4160.71
90714237	2.67	2937.03
90714238	2.67	3150.99
90714245	2.69	4333.12
90714311	2.65	7879.81
90714328	2.61	6131.34
90714390	2.68	2881.39
90714918	2.65	15174.85
90714942	2.69	4639.25
90715191	2.28	4094.34
90715198	2.28	643.49
90715266	2.24	6268.13
90715267	2.24	6931.48
90715294	2.28	1755
90715353	2.22	2800.29
90715966	2.24	6931.48
90715983	2.23	4485.28
90715987	2.23	2238.8
90715988	2.23	3476
90715993	2.28	2935.37
90716050	2.72	3451.1
90716064	2.74	3105.89
90716091	2.78	870.03
90716095	2.78	2679.67
90716151	2.72	3451.1
90716154	2.72	2611
90716258	2.72	3782.66
90716260	2.74	2975.74
90716290	2.78	2922.96
90716332	2.77	7145.4
90716352	2.72	2849.42
90716390	2.78	2679.67
90716951	2.72	2849.42
90716952	2.72	3782.66
90716969	2.74	2975.74
90716973	2.8	444.66
90716975	2.8	490.05
90716976	2.8	479.18
90716978	2.8	477.96
90716979	2.8	479.18
90716990	2.78	2922.96
90716994	2.78	2679.67
90717150	2.92	6449.74
90717158	2.92	6449.74
90717167	2.94	4438.4
90717362	2.94	5096.05
90718010	2.55	5991.12
90718024	2.51	6230.86
90718081	2.53	802.16
90718089	2.53	644.37
90718101	2.56	2464.28
90718112	2.55	5991.12
90718113	2.55	3819.49
